golden_id,tweet_id,customer_message,conversation_context,baseline_ai_prediction,baseline_ai_confidence,baseline_reasoning,human_ground_truth,agreement_status,priority,risk_flags
gold_087,617175,@115858 bought a MacBook Pro 6 weeks ago. It was faulty straight out of the box. Just had it exchanged and the new one is also faulty. Shit,@266430 That's certainly not the experience we want you to have when purchasing any of our Apple devices. Please send us a DM and tell us what's going on with the MacBook Pro so we can look into this further. https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is seeking general support and assistance with their MacBook Pro issue, including a possible warranty claim and exchange process, rather than a specific technical problem.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_088,2420774,@AppleSupport my  2 iPhones  will not connect to the internet via WiFi yet my iPad will??,@695383 Let's look into this together. What happens when you attempt to connect to Wi-Fi? How long have you been experiencing it?,general_device_support,0.8,"Customer is seeking general troubleshooting assistance for WiFi connectivity issues on multiple devices, including iPhones and an iPad.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_089,668546,@115858 why the fuck is my wifi on AGAIN ?,@279408  Did you turn off your Wi-Fi using the Settings app or the Control Center? DM us and let us know. https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is seeking general troubleshooting assistance for a recurring issue with their Wi-Fi, rather than a specific technical problem.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_093,2676549,Out of the blue my 2016 MacBook won’t turn on and this is really an unexpected roadblock @115858,@753324 We're here for you. Send us a DM and we'll get started there. https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is seeking general assistance and troubleshooting for their MacBook, as they are unable to turn it on and are looking for next steps.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_097,2850886,"My phone is malfunctioning. My texts are coming in, but I’m not getting the notification and it’s going to the bottom of my messages @AppleSupport","@792704 That's not expected behavior. We know how important it is to be notified when you receive a message. Let's see what we can do to get you a resolution. Let us know in DM if restarting your device helps. Also, let us know what iOS you are running. https://t.co/GDrqU22YpT",display_touch_issue,0.8,"Customer reports issue with notification not appearing on screen, which is a display-related problem.",general_device_support,DISAGREE,high,borderline_confidence; intent_divergence
gold_098,2151195,@AppleSupport Hey! What does this mean? It's a new screen for me. https://t.co/0w1NPRJpJc,@632203 We'd love to look into this with you. Are you restoring your iPhone from a back up? Click here and let us know in DM: https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is seeking explanation for a new screen on their iPhone, but the conversation context suggests a potential restoration issue, which may not be the primary concern.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_102,2495499,Can @115948 or @115858 please fix the music app ...ever since the update .. I can’t pause music without going to app🙄 #sos,@712218 Let's take a look together. Can you send us a screenshot of what you're seeing?,display_touch_issue,0.8,"The customer is experiencing a display issue with the music app, specifically being unable to pause music without going to the app, which suggests a touchscreen or display problem.",software_update_problem,DISAGREE,high,borderline_confidence; intent_divergence
gold_104,435818,@AppleSupport why aren’t my apps downloading??? I’ve tried with and without WiFi...,@218522 Let's work on getting your apps downloaded. What happens when you try to install an app? Is there an error message?,billing_purchase_issue,0.8,"Customer reports issue with app downloads, which may be related to payment or App Store issues.",general_device_support,DISAGREE,high,borderline_confidence; intent_divergence
gold_001,1141068,"@AppleSupport Just updated to latest #ios11. Autocorrect always suggests ""minuet"" when I want ""minute"". Trying to push baroque dances on us?",@388594 Here's a useful technique to prevent the Auto-Correction of words. Check out Text Replacements here: https://t.co/U5VKSTl2CD,keyboard_typing_issue,0.95,"The user reports incorrect autocorrect suggestions after updating to iOS 11, indicating a keyboard typing issue.",keyboard_typing_issue,AGREE,low,high_confidence_clean
gold_002,704558,This update is ruining my life!! @115858,@288369 We are here to help. Please send us a DM with details about what's going on. https://t.co/GDrqU22YpT,software_update_problem,0.92,"The user complains that an update is ruining their life, indicating a problem caused by an operating system update.",software_update_problem,AGREE,low,high_confidence_clean; qc_sample
gold_003,1671828,@AppleSupport it works on my phone but not my MacBook,@508839 Let's take a closer look in DM. What is the exact error message you're receiving? https://t.co/GDrqU22YpT,mac_software_issue,0.7,"The user reports a problem that occurs on a MacBook but not on their phone, indicating a software-related issue specific to the Mac environment.",unclear_needs_review,DISAGREE,high,borderline_confidence
gold_004,2545615,@AppleSupport my phone slow as hell after this update cmon now 🤦🏻‍♂️ lagging like it’s a iPhone 3,"@723549 Let's take a look at this together. Is it an app that's slow or does it seem to be the entire iPhone? If you restart, does that help for a time? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT",software_update_problem,0.95,"The user reports significant slowdown of the entire device immediately following an update, indicating a performance issue tied to the OS update.",software_update_problem,AGREE,low,high_confidence_clean
gold_005,2309580,"@115858 can you explain why the system still records my location when the switch is off, and never shows purple even if icon on screen !!! https://t.co/yWIEtfYens",@162026 We're here to help. So we can look into this with you can you please message us in DM? https://t.co/GDrqU22YpT,general_device_support,0.8,"User is asking about location tracking behavior and icon display, which falls under general device support as there is no specific intent for location services.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_011,2726023,pentatonix being made fun of on a popular animated show is on my bucket list,"@764487 We can help with that. Just to clarify, are you seeing the A + special character when typing the letter I? If so, which version of iOS are you using? You can check that at Settings &gt; General &gt; About.",unclear_needs_review,0.95,"The customer’s message does not contain a support request or any operational issue; it appears to be a random statement, so it falls under unclear needs review.",unclear_needs_review,AGREE,critical,unclear_needs_review_suggested
gold_014,1598591,Restored this fucking phone &amp; I STILL can’t type to group texts with droid users 😑😑 wtf @115858,@__Mamass__ Let's look into this for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT,general_device_support,0.7,"The user reports a specific issue with typing to group texts involving Android users, which does not fit any of the more specific intent categories. It is a functional problem with messaging that falls under general device support for iPhone/iPad.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_025,267770,Espero que con la actualizacion de corrección de errores y demás mi iPhone mejore... por que el iOs 11 va de pena @115858,@179846 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,general_device_support,0.7,"The user expresses dissatisfaction with iOS 11 and hopes for improvement after a bug‑fix update, but does not report a specific operational failure or request for assistance.",software_update_problem,DISAGREE,high,borderline_confidence; true_language_uncertainty; intent_divergence
gold_031,1897967,@AppleSupport @115858 iOS 11 is a glitched out mess. Not the quality I expect from Apple.,"@565666 Are you experiencing an issue on your device running iOS 11? If so, DM us more information. We're here to help. https://t.co/GDrqU22YpT",general_device_support,0.7,"The user expresses a general complaint about iOS 11 being glitchy without specifying a particular operational failure (e.g., crash, battery drain). This falls under a broad, ambiguous device support inquiry.",software_update_problem,DISAGREE,high,borderline_confidence; intent_divergence
gold_032,2523471,@115858 what are you doing to the letter I pls help,"@718632 Thanks for reaching out. So we can provide you with the best information, can you let us know what issues you're experiencing?",unclear_needs_review,0.9,"The user’s message is ambiguous and does not clearly indicate a specific Apple-related operational issue, making it unclear which intent applies.",keyboard_typing_issue,DISAGREE,critical,unclear_needs_review_suggested
gold_041,706150,@AppleSupport thank u for a great chat and purchase experience,"@288241 We're glad to hear you found the case you were looking for! If there's anything else we can help with, don't hesitate to reach out.",general_device_support,0.45,"The customer is simply expressing gratitude and does not present a specific issue or request, so the most appropriate category is a general support interaction.",unclear_needs_review,DISAGREE,critical,model_requested_review
gold_047,2152136,@AppleSupport photos not syncing properly between OSX high Sierra and iOS.  Same problem in several versions  d was hoping would get fixed. Say an album with 172 pics but only 33 transfer.  Have rebuilt library. Wiped iPhone. Closed and reopened apps. Reset devices. Etc.,"@400572 Let's take a look into this with you. Send us a DM letting us know which country you live in, and we'll work from there: https://t.co/GDrqU22YpT",general_device_support,0.8,"Customer is seeking general troubleshooting assistance for syncing issues between OSX high Sierra and iOS, with no clear indication of a specific software update problem or hardware defect.",mac_software_issue,DISAGREE,high,borderline_confidence; intent_divergence
gold_056,1327430,"Und ich dachte mein MacBook bleibt frei von irgendwelchen Problemen.😑

Liebes @AppleSupport Team, my right speaker made weird sounds once and now the overall volume is lower than the other + there are no more heights in the sound itself anymore. Is it a known problem?",@429709 Hello there! We definitely want to make sure we can provide all the support needed to help find a resolution. We'd like to make sure your MacBook speakers are working as expected. Let us know if the steps in the article help: https://t.co/P3L0yCnGzV,mac_software_issue,0.8,"The customer reports a specific issue with their MacBook speaker, including a change in sound quality and volume, which suggests a software-related problem.",hardware_audio_connection_issue,DISAGREE,high,borderline_confidence; true_language_uncertainty
gold_064,2118348,@AppleSupport please fix this letter “eye” problem!! I️ paid all this money for this phone &amp; I’m still seeing blocks!,@624297 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,display_touch_issue,0.9,"Customer reports a visual issue with the phone's display, specifically the letter 'eye' being blocked, and mentions they paid for the phone, implying a hardware or software issue.",keyboard_typing_issue,DISAGREE,low,high_confidence_clean
gold_084,2730421,Formated and reinstalled MacOS High Sierra by Genius Bar member at Apple Shop but still problem of random key stopped working remains. It's time for Apple to acknowledge issue @AppleSupport even Google search shows many r facing same issue. No solution yet!,@765490 We want to help. DM us and we'll continue there. https://t.co/GDrqU22YpT,mac_software_issue,0.9,"The customer reports a problem with MacOS High Sierra that persists after a Genius Bar member's attempt to resolve it, indicating a software-related issue.",keyboard_typing_issue,DISAGREE,low,high_confidence_clean; qc_sample
gold_103,2285339,@AppleSupport so my iPhone crashes touch seems to stop working altho I can access wifi menu etc Ask apple the issue they tell me my phone screen needs replaced - get new phone and same issue happens is this a problem with iOS or the 8?,@664100 Let's take a closer look at this issue together. Please DM us about this and we'll get started. https://t.co/GDrqU22YpT,display_touch_issue,0.9,"Customer reports iPhone screen issue with touch functionality, despite still being able to access Wi-Fi. Apple Support suggests screen replacement, but issue persists, indicating a potential hardware or display problem.",display_touch_issue,AGREE,low,high_confidence_clean
gold_140,682008,"Looks like its a common problem with the @115858 High Sierra download as there are a number of pics posted on the web. 
This is the same error message which I got today.
It doesn't allow you to quit download unless you know your way around computers. Needs fixing asap @116333 https://t.co/PIbCxNlyoc",@282757 Send us a DM and let us know if you were able to get macOS High Sierra installed. We'll do our best to assist. https://t.co/GDrqU22YpT,software_update_problem,0.9,"Customer reports an error message during macOS High Sierra download, indicating a problem with the update process.",software_update_problem,AGREE,low,high_confidence_clean
