golden_id,tweet_id,customer_message,conversation_context,human_ground_truth,baseline_prediction,baseline_confidence,baseline_agreed,improved_prediction,improved_confidence,improved_reasoning,improved_agreed,prediction_changed
gold_082,2417474,"@AppleSupport ever since the new update my i7 has been EXTREMELY laggy, when I type the keyboard lags and opening or switching apps, everything lags. Please fix this in a new patch. 
I’m also seeing the question mark box on twitter.",@266772 We'd be happy to help. Send us a DM with a few details. https://t.co/GDrqU22YpT,software_update_problem,general_device_support,0.8,False,software_update_problem,0.95,"Customer explicitly attributes system-wide lag and bugs to a recent software update, indicating a software update problem.",True,True
gold_086,2593221,@AppleSupport my MacBook Air has the dreaded spinning beach ball. Help please.,@734392 Thanks for reaching out. We'd like to help. Are you able to force quit the app this issue occurred in? This article has the steps to help: https://t.co/W0vgF3uI0f Let us know and we'll continue to assist.,mac_software_issue,general_device_support,0.8,False,mac_software_issue,0.95,"Customer reports macOS UI freezing (spinning beach ball), which is a Mac software issue.",True,True
gold_087,617175,@115858 bought a MacBook Pro 6 weeks ago. It was faulty straight out of the box. Just had it exchanged and the new one is also faulty. Shit,@266430 That's certainly not the experience we want you to have when purchasing any of our Apple devices. Please send us a DM and tell us what's going on with the MacBook Pro so we can look into this further. https://t.co/GDrqU22YpT,general_device_support,general_device_support,0.8,True,account_access_issue,0.95,"Customer is requesting assistance with a faulty device, indicating a need to access their account information to troubleshoot or resolve the issue.",False,True
gold_088,2420774,@AppleSupport my  2 iPhones  will not connect to the internet via WiFi yet my iPad will??,@695383 Let's look into this together. What happens when you attempt to connect to Wi-Fi? How long have you been experiencing it?,general_device_support,general_device_support,0.8,True,hardware_audio_connection_issue,0.8,"Customer reports inconsistent WiFi connectivity across devices, which may indicate a hardware issue with the iPhones' Wi-Fi capabilities.",False,True
gold_089,668546,@115858 why the fuck is my wifi on AGAIN ?,@279408  Did you turn off your Wi-Fi using the Settings app or the Control Center? DM us and let us know. https://t.co/GDrqU22YpT,general_device_support,general_device_support,0.8,True,general_device_support,0.9,"Customer's message is a complaint about a recurring issue with their WiFi, but the context of the conversation is about troubleshooting and potential user error, fitting general device support.",True,False
gold_093,2676549,Out of the blue my 2016 MacBook won’t turn on and this is really an unexpected roadblock @115858,@753324 We're here for you. Send us a DM and we'll get started there. https://t.co/GDrqU22YpT,general_device_support,general_device_support,0.8,True,general_device_support,0.9,"Customer reports a sudden and unexpected issue with their MacBook, which is a general device problem requiring initial support triage.",True,False
gold_097,2850886,"My phone is malfunctioning. My texts are coming in, but I’m not getting the notification and it’s going to the bottom of my messages @AppleSupport","@792704 That's not expected behavior. We know how important it is to be notified when you receive a message. Let's see what we can do to get you a resolution. Let us know in DM if restarting your device helps. Also, let us know what iOS you are running. https://t.co/GDrqU22YpT",general_device_support,display_touch_issue,0.8,False,display_touch_issue,0.85,"Customer reports receiving texts but not getting notifications, which suggests a display or notification issue, specifically with the notification area at the bottom of the messages.",False,False
gold_098,2151195,@AppleSupport Hey! What does this mean? It's a new screen for me. https://t.co/0w1NPRJpJc,@632203 We'd love to look into this with you. Are you restoring your iPhone from a back up? Click here and let us know in DM: https://t.co/GDrqU22YpT,general_device_support,general_device_support,0.8,True,display_touch_issue,0.95,"Customer is experiencing a new screen issue, indicating a possible display or touchscreen problem.",False,True
gold_102,2495499,Can @115948 or @115858 please fix the music app ...ever since the update .. I can’t pause music without going to app🙄 #sos,@712218 Let's take a look together. Can you send us a screenshot of what you're seeing?,software_update_problem,display_touch_issue,0.8,False,hardware_audio_connection_issue,0.95,"Customer reports failure to pause music in the music app, which is an audio functionality issue, and mentions an update, suggesting a hardware or software issue with the audio connection.",False,True
gold_104,435818,@AppleSupport why aren’t my apps downloading??? I’ve tried with and without WiFi...,@218522 Let's work on getting your apps downloaded. What happens when you try to install an app? Is there an error message?,general_device_support,billing_purchase_issue,0.8,False,general_device_support,0.9,"Customer reports technical issue downloading apps over WiFi with no billing or payment failure mentioned, fitting general device support.",True,True
gold_001,1141068,"@AppleSupport Just updated to latest #ios11. Autocorrect always suggests ""minuet"" when I want ""minute"". Trying to push baroque dances on us?",@388594 Here's a useful technique to prevent the Auto-Correction of words. Check out Text Replacements here: https://t.co/U5VKSTl2CD,keyboard_typing_issue,keyboard_typing_issue,0.95,True,keyboard_typing_issue,0.95,"Customer reports autocorrect suggesting incorrect word 'minuet' instead of 'minute', which is a keyboard typing/autocorrect issue.",True,False
gold_002,704558,This update is ruining my life!! @115858,@288369 We are here to help. Please send us a DM with details about what's going on. https://t.co/GDrqU22YpT,software_update_problem,software_update_problem,0.92,True,software_update_problem,0.95,"Customer explicitly states that the update is causing significant problems, indicating a software update issue.",True,False
gold_003,1671828,@AppleSupport it works on my phone but not my MacBook,@508839 Let's take a closer look in DM. What is the exact error message you're receiving? https://t.co/GDrqU22YpT,unclear_needs_review,mac_software_issue,0.7,False,general_device_support,0.9,"Customer reports a general issue with a device (MacBook) that works on another device (phone), without providing specific error details or symptoms, fitting general device support.",False,True
gold_004,2545615,@AppleSupport my phone slow as hell after this update cmon now 🤦🏻‍♂️ lagging like it’s a iPhone 3,"@723549 Let's take a look at this together. Is it an app that's slow or does it seem to be the entire iPhone? If you restart, does that help for a time? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT",software_update_problem,software_update_problem,0.95,True,software_update_problem,0.95,"Customer explicitly mentions the update causing the issue and attributes the problem to the phone's slowness, indicating a software update problem.",True,False
gold_005,2309580,"@115858 can you explain why the system still records my location when the switch is off, and never shows purple even if icon on screen !!! https://t.co/yWIEtfYens",@162026 We're here to help. So we can look into this with you can you please message us in DM? https://t.co/GDrqU22YpT,general_device_support,general_device_support,0.8,True,account_access_issue,0.85,"Customer is asking about their account settings and location tracking, indicating a need to access their account information and potentially adjust their location tracking settings.",False,True
gold_011,2726023,pentatonix being made fun of on a popular animated show is on my bucket list,"@764487 We can help with that. Just to clarify, are you seeing the A + special character when typing the letter I? If so, which version of iOS are you using? You can check that at Settings &gt; General &gt; About.",unclear_needs_review,unclear_needs_review,0.95,True,keyboard_typing_issue,0.95,"Customer reports a specific typing issue with the letter 'I' (A+ special character), which is a keyboard typing/autocorrect issue.",False,True
gold_014,1598591,Restored this fucking phone &amp; I STILL can’t type to group texts with droid users 😑😑 wtf @115858,@__Mamass__ Let's look into this for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT,general_device_support,general_device_support,0.7,True,keyboard_typing_issue,0.95,"Customer reports typing issue with group texts, specifically with Droid users, which is a keyboard typing/autocorrect issue.",False,True
gold_025,267770,Espero que con la actualizacion de corrección de errores y demás mi iPhone mejore... por que el iOs 11 va de pena @115858,@179846 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,software_update_problem,general_device_support,0.7,False,general_device_support,0.9,"Customer expresses hope for improvement with the latest update, but does not specify a particular issue or problem, fitting general device support.",False,False
gold_031,1897967,@AppleSupport @115858 iOS 11 is a glitched out mess. Not the quality I expect from Apple.,"@565666 Are you experiencing an issue on your device running iOS 11? If so, DM us more information. We're here to help. https://t.co/GDrqU22YpT",software_update_problem,general_device_support,0.7,False,software_update_problem,0.95,"Customer explicitly states that iOS 11 is a 'glitched out mess', indicating a software update problem.",True,True
gold_032,2523471,@115858 what are you doing to the letter I pls help,"@718632 Thanks for reaching out. So we can provide you with the best information, can you let us know what issues you're experiencing?",keyboard_typing_issue,unclear_needs_review,0.9,False,keyboard_typing_issue,0.95,"Customer reports a specific issue with the letter 'I' typing, which is a keyboard typing/autocorrect issue.",True,True
gold_041,706150,@AppleSupport thank u for a great chat and purchase experience,"@288241 We're glad to hear you found the case you were looking for! If there's anything else we can help with, don't hesitate to reach out.",unclear_needs_review,general_device_support,0.45,False,general_device_support,0.9,"Customer expresses appreciation for the chat and purchase experience, but doesn't mention a specific issue or problem, fitting general device support.",False,False
gold_047,2152136,@AppleSupport photos not syncing properly between OSX high Sierra and iOS.  Same problem in several versions  d was hoping would get fixed. Say an album with 172 pics but only 33 transfer.  Have rebuilt library. Wiped iPhone. Closed and reopened apps. Reset devices. Etc.,"@400572 Let's take a look into this with you. Send us a DM letting us know which country you live in, and we'll work from there: https://t.co/GDrqU22YpT",mac_software_issue,general_device_support,0.8,False,account_access_issue,0.85,"Customer reports syncing issue between OSX high Sierra and iOS, suggesting a problem with accessing or transferring photos between devices, which is a common account-related issue.",False,True
gold_056,1327430,"Und ich dachte mein MacBook bleibt frei von irgendwelchen Problemen.😑

Liebes @AppleSupport Team, my right speaker made weird sounds once and now the overall volume is lower than the other + there are no more heights in the sound itself anymore. Is it a known problem?",@429709 Hello there! We definitely want to make sure we can provide all the support needed to help find a resolution. We'd like to make sure your MacBook speakers are working as expected. Let us know if the steps in the article help: https://t.co/P3L0yCnGzV,hardware_audio_connection_issue,mac_software_issue,0.8,False,hardware_audio_connection_issue,0.95,"Customer reports a specific audio issue with their MacBook speaker, including a change in volume and loss of high-frequency sound, which is a hardware audio connection issue.",True,True
gold_064,2118348,@AppleSupport please fix this letter “eye” problem!! I️ paid all this money for this phone &amp; I’m still seeing blocks!,@624297 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,keyboard_typing_issue,display_touch_issue,0.9,False,keyboard_typing_issue,0.95,"Customer reports the letter 'I' typing glitch where text input displays as block symbols, which is a keyboard typing/autocorrect issue.",True,True
gold_084,2730421,Formated and reinstalled MacOS High Sierra by Genius Bar member at Apple Shop but still problem of random key stopped working remains. It's time for Apple to acknowledge issue @AppleSupport even Google search shows many r facing same issue. No solution yet!,@765490 We want to help. DM us and we'll continue there. https://t.co/GDrqU22YpT,keyboard_typing_issue,mac_software_issue,0.9,False,mac_software_issue,0.95,"Customer reports a Mac software issue with a specific problem (random key stopped working) that persists despite a recent MacOS High Sierra reinstall, indicating a Mac software problem.",False,False
gold_103,2285339,@AppleSupport so my iPhone crashes touch seems to stop working altho I can access wifi menu etc Ask apple the issue they tell me my phone screen needs replaced - get new phone and same issue happens is this a problem with iOS or the 8?,@664100 Let's take a closer look at this issue together. Please DM us about this and we'll get started. https://t.co/GDrqU22YpT,display_touch_issue,display_touch_issue,0.9,True,display_touch_issue,0.95,"Customer reports iPhone screen touch issue with no sound, but can access WiFi menu, indicating a physical display problem.",True,False
gold_140,682008,"Looks like its a common problem with the @115858 High Sierra download as there are a number of pics posted on the web. 
This is the same error message which I got today.
It doesn't allow you to quit download unless you know your way around computers. Needs fixing asap @116333 https://t.co/PIbCxNlyoc",@282757 Send us a DM and let us know if you were able to get macOS High Sierra installed. We'll do our best to assist. https://t.co/GDrqU22YpT,software_update_problem,software_update_problem,0.9,True,software_update_problem,0.95,"Customer reports a common problem with macOS High Sierra download, indicating a software update issue.",True,False
