"golden_id","tweet_id","conversation_id","customer_message","normalized_message","candidate_intent","source_cluster","conversation_context","annotation_label","annotation_status","annotator","notes"
"gold_011","2726023","conv_AppleSupport_2726023","pentatonix being made fun of on a popular animated show is on my bucket list","pentatonix being made fun of on a popular animated show is on my bucket list","general_device_support",5,"@764487 We can help with that. Just to clarify, are you seeing the A + special character when typing the letter I? If so, which version of iOS are you using? You can check that at Settings &gt; General &gt; About.","","pending","",""
"gold_012","517208","conv_AppleSupport_517208","Wow was on hold for like 10 min with @AppleSupport and they hung up on me , been tryin to recover my Apple ID password all week 😒😒","Wow was on hold for like 10 min with <USER> and they hung up on me , been tryin to recover my Apple ID password all week 😒😒","account_access_issue",4,"@239248 We are so sorry the call was interrupted. Let's get a call scheduled for you at your earliest convenience. Please tap here to meet us in a DM and we'll be glad to set that up: https://t.co/GDrqU22YpT","","pending","",""
"gold_013","1845332","conv_AppleSupport_1845332","Just did the @115858 update and per usually my phone doesn’t work as well and my battery life is dying. #typcialappleproducts","Just did the <USER> update and per usually my phone doesn’t work as well and my battery life is dying. #typcialappleproducts","software_update_problem",6,"@552794 Great batery life is important, and we want to check things out with you. Could you join us in DM with more details? https://t.co/GDrqU22YpT","","pending","",""
"gold_014","1598591","conv_AppleSupport_1598591","Restored this fucking phone &amp; I STILL can’t type to group texts with droid users 😑😑 wtf @115858","Restored this fucking phone &amp; I STILL can’t type to group texts with droid users 😑😑 wtf <USER>","keyboard_typing_issue",2,"@__Mamass__ Let's look into this for you. Send us a DM with your current iOS version to get started. https://t.co/GDrqU22YpT","","pending","",""
"gold_015","655862","conv_AppleSupport_655862","@AppleSupport I jst saw a transaction made on my credit card from an iTunes purchase of $10.81 and another of $1.07 I didn’t buy nothing.","<USER> I jst saw a transaction made on my credit card from an iTunes purchase of $10.81 and another of $1.07 I didn’t buy nothing.","billing_purchase_issue",4,"@276020 We'll point you in the right direction. To look into this, connect with our iTunes Store Support team: https://t.co/SDIe7UiyJN","","pending","",""
"gold_016","270317","conv_AppleSupport_270317","Why @115858 won’t let me update my payment. It keeps saying card declined when I have money in my account! #iOS11","Why <USER> won’t let me update my payment. It keeps saying card declined when I have money in my account! #iOS11","billing_purchase_issue",4,"@180449 We're happy to help. Let's start here: https://t.co/U96y4MTG7k","","pending","",""
"gold_017","1533769","conv_AppleSupport_1533769","@AppleSupport when’re you guys gonna fix your shitty ios11. I’m tired of my phone freezing and restarting cuz the 11 is shit","<USER> when’re you guys gonna fix your shitty ios11. I’m tired of my phone freezing and restarting cuz the 11 is shit","software_update_problem",3,"@475662 We're here for you. Which device and version of iOS 11 are you running? Check by tapping Settings &gt; General &gt; About.","","pending","",""
"gold_018","1642648","conv_AppleSupport_1642648","Someone explain to me why my phone corrects “I️” as in the letter i to a? https://t.co/sTx6i8U0dP","Someone explain to me why my phone corrects “I️” as in the letter i to a? <URL>","keyboard_typing_issue",0,"@502105 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9","","pending","",""
"gold_019","2899060","conv_AppleSupport_2899060","@AppleSupport my Apple Music just crashed and every time I open the app it shows a black screen and crashes again can it be fixed?","<USER> my Apple Music just crashed and every time I open the app it shows a black screen and crashes again can it be fixed?","display_touch_issue",5,"@803156 We'd be happy to assist you.  Let us know in DM the device you're using with Apple Music and the steps tried and we'll continue from there. https://t.co/GDrqU22YpT","","pending","",""
"gold_020","1185354","conv_AppleSupport_1185354","@AppleSupport hey Apple I’m trying to purchase an App and it’s saying I need to answer Security Questions but it won’t let me reset them","<USER> hey Apple I’m trying to purchase an App and it’s saying I need to answer Security Questions but it won’t let me reset them","billing_purchase_issue",4,"@398723 For help with accessing your account, reach out to our Apple ID team here:  https://t.co/UJm15vmMM2","","pending","",""
"gold_021","1875605","conv_AppleSupport_1875605","Hmm, why am I getting ""create new user account"" when I go to Apple Discussions? Why not the usual login? @AppleSupport","Hmm, why am I getting ""create new user account"" when I go to Apple Discussions? Why not the usual login? <USER>","account_access_issue",5,"@250267 We're happy to help. Have you tried clearing history? Take a look here: https://t.co/lRzEVxtJKt Send us a DM with your results https://t.co/GDrqU22YpT","","pending","",""
"gold_022","451358","conv_AppleSupport_451358","@AppleSupport hello. Any idea why many of my messages on the lock screen keep coming through like this? Many thanks. https://t.co/i8EMG88xW5","<USER> hello. Any idea why many of my messages on the lock screen keep coming through like this? Many thanks. <URL>","display_touch_issue",5,"@222030 Thanks for reaching out about notifications. Does this happen with only notifications from a specific app?","","pending","",""
"gold_023","2800566","conv_AppleSupport_2800566","@AppleSupport just got an email saying that someone just tried accessing my account from someplace else but I don’t trust it cuz it looks to plain of an email","<USER> just got an email saying that someone just tried accessing my account from someplace else but I don’t trust it cuz it looks to plain of an email","general_device_support",7,"@781292 Thank you for reaching out to us and providing us with this information. This may be a phishing attempt. We recommend changing your Apple ID password if you have clicked any links. 

Please report this phishing message using the info here: https://t.co/6Ye6EtSytB","","pending","",""
"gold_024","247086","conv_AppleSupport_247086","@AppleSupport please do something about these constant prompts for AppleID Verification, they're driving me nuts.","<USER> please do something about these constant prompts for AppleID Verification, they're driving me nuts.","account_access_issue",4,"@174691 Surely! We're glad to help with those prompts. Which device is this occurring on &amp; what version of OS are you running?","","pending","",""
"gold_025","267770","conv_AppleSupport_267770","Espero que con la actualizacion de corrección de errores y demás mi iPhone mejore... por que el iOs 11 va de pena @115858","Espero que con la actualizacion de corrección de errores y demás mi iPhone mejore... por que el iOs 11 va de pena <USER>","software_update_problem",3,"@179846 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs","","pending","",""
"gold_026","2286436","conv_AppleSupport_2286436","@115858 for the love of #280characters would you please fix this I️ crap!  It’s annoying AF! Also apps are loading wrong on 6splus, because of X screen size.","<USER> for the love of #280characters would you please fix this I️ crap! It’s annoying AF! Also apps are loading wrong on 6splus, because of X screen size.","display_touch_issue",5,"@541189 We'll be happy to look into this for you. What iOS version is currently installed on your device?","","pending","",""
"gold_027","894857","conv_AppleSupport_894857","@AppleSupport since updating to high sierra I'm seeing lots of notifications from Time Machine, which I don't use. How do I turn off?","<USER> since updating to high sierra I'm seeing lots of notifications from Time Machine, which I don't use. How do I turn off?","mac_software_issue",5,"@328357 Thanks for reaching out to us. We are always happy to help. This article should help you here: https://t.co/colSnLidmp","","pending","",""
"gold_028","2807602","conv_AppleSupport_2807602","@115858 I AM LITERALLY SO MAD THAT MY WIFI KEEPS TURNING ON AFTER IVE INTENTIONALLY TURNED IT OFF 😭😭😭","<USER> I AM LITERALLY SO MAD THAT MY WIFI KEEPS TURNING ON AFTER IVE INTENTIONALLY TURNED IT OFF 😭😭😭","hardware_audio_connection_issue",5,"@783014 We’d like to figure out why this is happening too. Does this happen when you turn off Wi-Fi by going to Settings &gt; Wi-Fi? DM us and let us know. https://t.co/GDrqU22YpT","","pending","",""
"gold_029","292926","conv_AppleSupport_292926","@115858 sort your shit out!!! I’m switching to Samsung if my phone doesn’t stop going slower than a turtle 😡😡😡🐢","<USER> sort your shit out!!! I’m switching to Samsung if my phone doesn’t stop going slower than a turtle 😡😡😡🐢","general_device_support",2,"@185760 We understand how important the performance of your iPhone is. We want to help! Send us a DM and we'll look into this. https://t.co/GDrqU22YpT","","pending","",""
"gold_030","1522626","conv_AppleSupport_1522626","What’s wrong with the battery? 😩😩 literally killing me. It goes from 20% to 10% in just few minutes
@AppleSupport #iOS11.1 @115858","What’s wrong with the battery? 😩😩 literally killing me. It goes from 20% to 10% in just few minutes <USER> #iOS11.1 <USER>","battery_power_issue",1,"@473144 We know how important battery life is. DM us using the link below and we'll look into this with you. https://t.co/GDrqU22YpT","","pending","",""
"gold_031","1897967","conv_AppleSupport_1897967","@AppleSupport @115858 iOS 11 is a glitched out mess. Not the quality I expect from Apple.","<USER> <USER> iOS 11 is a glitched out mess. Not the quality I expect from Apple.","software_update_problem",3,"@565666 Are you experiencing an issue on your device running iOS 11? If so, DM us more information. We're here to help. https://t.co/GDrqU22YpT","","pending","",""
"gold_032","2523471","conv_AppleSupport_2523471","@115858 what are you doing to the letter I pls help","<USER> what are you doing to the letter I pls help","keyboard_typing_issue",0,"@718632 Thanks for reaching out. So we can provide you with the best information, can you let us know what issues you're experiencing?","","pending","",""
"gold_033","235842","conv_AppleSupport_235842","@AppleSupport hi! Is this an official apple email? If so, I didn’t buy anything that’s on this receipt! 😱😱 https://t.co/hzlwX5xX87","<USER> hi! Is this an official apple email? If so, I didn’t buy anything that’s on this receipt! 😱😱 <URL>","billing_purchase_issue",4,"@172176 We'd love to look into this with you. Please join us in DM so we can review some information. https://t.co/GDrqU22YpT","","pending","",""
"gold_034","2711852","conv_AppleSupport_2711852","my laptop says 6:40 but my PHONE says 7:40 and is not changing or letting me send tweets snaps texts etc! I thought i was crazy not knowing the time LOL. I tried resetting many times. HELP !!!!!!! @AppleSupport WHat even is this","my laptop says 6:40 but my PHONE says 7:40 and is not changing or letting me send tweets snaps texts etc! I thought i was crazy not knowing the time LOL. I tried resetting many times. HELP !!!!!!! <USER> WHat even is this","general_device_support",2,"@761382 We know how important it is to have the correct time on your phone. Let's see what we can do to get down to the bottom of this with you. Follow the steps in this article: https://t.co/LrZacC2tay Let us know if it works in DM. https://t.co/GDrqU22YpT","","pending","",""
"gold_035","1517047","conv_AppleSupport_1517047","Fix this update @AppleSupport @115858 why can’t I️ type the letter “I️” why the hell are these special characters in my predictive text?!?","Fix this update <USER> <USER> why can’t I️ type the letter “I️” why the hell are these special characters in my predictive text?!?","keyboard_typing_issue",0,"@471972 Hey there! We'd like to assist, shoot us a DM when you get a chance. https://t.co/GDrqU22YpT","","pending","",""
"gold_036","2307265","conv_AppleSupport_2307265","@AppleSupport do I need to select a payment for Apple ID? My son will buy stuff and I don’t want that to happen like last time Can I just not I have to use credit card or PayPal","<USER> do I need to select a payment for Apple ID? My son will buy stuff and I don’t want that to happen like last time Can I just not I have to use credit card or PayPal","account_access_issue",4,"@669328 We'd like to help. You can setup your Apple ID to have no payment information listed as outlined here: https://t.co/Y0YoIRcZa7","","pending","",""
"gold_037","2128118","conv_AppleSupport_2128118","See this is the bullshit I’m talking @115858 your stupid iPhone isn’t working https://t.co/UhgeAIyEMz","See this is the bullshit I’m talking <USER> your stupid iPhone isn’t working <URL>","general_device_support",2,"@388596 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9","","pending","",""
"gold_038","691227","conv_AppleSupport_691227","I just can't ever buy an @AppleSupport iPhone again. My screen broke and put glass in 3 places on my hand. Flimsiest screen on any phone!","I just can't ever buy an <USER> iPhone again. My screen broke and put glass in 3 places on my hand. Flimsiest screen on any phone!","display_touch_issue",2,"@285175 We want to collect more information on this matter. Please DM us. https://t.co/GDrqU22YpT","","pending","",""
"gold_039","2527031","conv_AppleSupport_2527031","@AppleSupport get your shiz together this “I️” this is really killing me","<USER> get your shiz together this “I️” this is really killing me","general_device_support",0,"@719530 We'd be happy to help with this. Could you please send us a DM with what iOS version you're running so we can take a look? https://t.co/GDrqU22YpT","","pending","",""
"gold_040","695319","conv_AppleSupport_695319","Dear @115858 
Please fix all your fucking issues with iOS 11. I’m sick and tired of all these bugs. 🙃","Dear <USER> Please fix all your fucking issues with iOS 11. I’m sick and tired of all these bugs. 🙃","software_update_problem",3,"@285834 Reach out to us via DM and let us know what you've been experiencing, as well as the type of iPhone you have, then we can work together to get this resolved. https://t.co/GDrqU22YpT","","pending","",""
"gold_041","706150","conv_AppleSupport_706150","@AppleSupport thank u for a great chat and purchase experience","<USER> thank u for a great chat and purchase experience","billing_purchase_issue",7,"@288241 We're glad to hear you found the case you were looking for! If there's anything else we can help with, don't hesitate to reach out.","","pending","",""
"gold_042","523817","conv_AppleSupport_523817","@AppleSupport Any reason why apps get unchecked in Accessibility within Security and Privacy. macOS High Sierra 10.13.1 (17B1003)","<USER> Any reason why apps get unchecked in Accessibility within Security and Privacy. macOS High Sierra 10.13.1 (17B1003)","mac_software_issue",5,"@241072 We'd be happy to review this for you. Please DM us additional details and we'll go from there. https://t.co/GDrqU2kzhr","","pending","",""
"gold_043","2065762","conv_AppleSupport_2065762","Thanks iOS 11 for fucking up my phones battery life.  100% to 7% in half an hour @AppleSupport","Thanks iOS 11 for fucking up my phones battery life. 100% to 7% in half an hour <USER>","battery_power_issue",1,"@610893 We want to look into this battery issue with you. DM us using the link below, we'll work from there. https://t.co/GDrqU22YpT","","pending","",""
"gold_044","2971326","conv_AppleSupport_2971326","does my volume keep on turning off??? @115858 fix ur damn software","does my volume keep on turning off??? <USER> fix ur damn software","hardware_audio_connection_issue",5,"@819575 Let's look into this. Have you updated to iOS 11.1.2? https://t.co/80YRnjDFDk Be sure to create a backup if you haven't yet. Also, does this happen with headphones, the iPhone speaker, or both?","","pending","",""
"gold_045","1162142","conv_AppleSupport_1162142","@AppleSupport why can’t I use a vpn on safari after the most recent update? I have 2 take it off to use it????","<USER> why can’t I use a vpn on safari after the most recent update? I have 2 take it off to use it????","software_update_problem",5,"@254308 We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT","","pending","",""
"gold_046","1977499","conv_AppleSupport_1977499","@115858 @AppleSupport the music app is not producing sound. The other apps produce sound. Can play music but no sound comes out. Help. Thx.","<USER> <USER> the music app is not producing sound. The other apps produce sound. Can play music but no sound comes out. Help. Thx.","hardware_audio_connection_issue",5,"@585588 We know your music is important, and want to get this working for you. DM us with details about when this started happening. https://t.co/GDrqU22YpT","","pending","",""
"gold_047","2152136","conv_AppleSupport_2152136","@AppleSupport photos not syncing properly between OSX high Sierra and iOS.  Same problem in several versions  d was hoping would get fixed. Say an album with 172 pics but only 33 transfer.  Have rebuilt library. Wiped iPhone. Closed and reopened apps. Reset devices. Etc.","<USER> photos not syncing properly between OSX high Sierra and iOS. Same problem in several versions d was hoping would get fixed. Say an album with 172 pics but only 33 transfer. Have rebuilt library. Wiped iPhone. Closed and reopened apps. Reset devices. Etc.","mac_software_issue",5,"@400572 Let's take a look into this with you. Send us a DM letting us know which country you live in, and we'll work from there: https://t.co/GDrqU22YpT","","pending","",""
"gold_048","1001134","conv_AppleSupport_1001134","@115858 if my screen say poor connection does that mean my wifi is messed up or theres? cause i tired of having this argument erry night 😭💯","<USER> if my screen say poor connection does that mean my wifi is messed up or theres? cause i tired of having this argument erry night 😭💯","display_touch_issue",5,"@357012 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT","","pending","",""
"gold_049","537656","conv_AppleSupport_537656","@AppleSupport when will the MacOS Twitter app support the larger character count?","<USER> when will the MacOS Twitter app support the larger character count?","mac_software_issue",7,"@164460 We can help get this checked out with you. Just to be on the same page, are you referring to the Twitter app available through the Mac App Store?","","pending","",""
"gold_050","2977194","conv_AppleSupport_2977194","@AppleSupport Looking for some help. Upgraded phone and now cannot turn Bluetooth on/off. Therefore can’t pair watch/upgrade watch. Watch is now rendered useless.","<USER> Looking for some help. Upgraded phone and now cannot turn Bluetooth on/off. Therefore can’t pair watch/upgrade watch. Watch is now rendered useless.","hardware_audio_connection_issue",2,"@821076 Thanks for reaching out.  We know how important it is for Bluetooth to work as expected and we'll do everything we can to assist.  Are you trying to turn Bluetooth on and off from Settings or within Control Center?  Let us know in DM. https://t.co/GDrqU22YpT","","pending","",""
"gold_051","2558661","conv_AppleSupport_2558661","@AppleSupport the amount of time I’m being asked to repeatedly sign in to my Apple ID/iCloud on my iPhone seems really abnormal. I’ve also had some really bad iCloud bugs lately. Can you help resolve?","<USER> the amount of time I’m being asked to repeatedly sign in to my Apple ID/iCloud on my iPhone seems really abnormal. I’ve also had some really bad iCloud bugs lately. Can you help resolve?","account_access_issue",4,"@572037 Let's take a look into this together. Send us a DM with details of the issues you're noting and when they started. We'll meet you there. https://t.co/GDrqU22YpT","","pending","",""
"gold_052","2177244","conv_AppleSupport_2177244","@AppleSupport 👋, What is the best antivirus for MacBook Pro ?","<USER> 👋, What is the best antivirus for MacBook Pro ?","mac_software_issue",5,"@284940 Macs are very well protected against malicious software. This link discusses the technologies built into macOS: https://t.co/xYnOFEGYBg you experiencing an issue with your MacBook Pro?","","pending","",""
"gold_053","690734","conv_AppleSupport_690734","@AppleSupport what’s up with the ridiculously fast battery drain on the new iOS!?! Help us out!!","<USER> what’s up with the ridiculously fast battery drain on the new iOS!?! Help us out!!","battery_power_issue",1,"@285037 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT","","pending","",""
"gold_054","1659045","conv_AppleSupport_1659045","@115858 is pissing me off! Whenever EYE try to use that letter that comes after H.... this is what happens. 👉🏼 I️ ..... 😡 WHAT THE FUCK???","<USER> is pissing me off! Whenever EYE try to use that letter that comes after H.... this is what happens. 👉🏼 I️ ..... 😡 WHAT THE FUCK???","general_device_support",0,"@506164 Thanks for reaching out. We have a workaround for this here: https://t.co/qODbOsGFo7 DM us if you still need help.","","pending","",""
"gold_055","428370","conv_AppleSupport_428370","@AppleSupport @115858 what have you done to my phone, it is possessed by an IT Satan #iosupdatefail","<USER> <USER> what have you done to my phone, it is possessed by an IT Satan #iosupdatefail","general_device_support",2,"@216887 We're here to help. To start, can you describe the issue(s) you're experiencing and what device you're using?","","pending","",""
"gold_056","1327430","conv_AppleSupport_1327430","Und ich dachte mein MacBook bleibt frei von irgendwelchen Problemen.😑

Liebes @AppleSupport Team, my right speaker made weird sounds once and now the overall volume is lower than the other + there are no more heights in the sound itself anymore. Is it a known problem?","Und ich dachte mein MacBook bleibt frei von irgendwelchen Problemen.😑 Liebes <USER> Team, my right speaker made weird sounds once and now the overall volume is lower than the other + there are no more heights in the sound itself anymore. Is it a known problem?","mac_software_issue",5,"@429709 Hello there! We definitely want to make sure we can provide all the support needed to help find a resolution. We'd like to make sure your MacBook speakers are working as expected. Let us know if the steps in the article help: https://t.co/P3L0yCnGzV","","pending","",""
"gold_057","1786534","conv_AppleSupport_1786534","@115858  Updates cause many problems. E.g., I have ""lock sound"" on but it won't make the sound. Ringtone won't work so now I'm missing calls.","<USER> Updates cause many problems. E.g., I have ""lock sound"" on but it won't make the sound. Ringtone won't work so now I'm missing calls.","hardware_audio_connection_issue",6,"@536734 We'll be happy to work with you to get things working as expected. Can you DM us the exact version of iOS you are running? https://t.co/GDrqU22YpT","","pending","",""
"gold_058","109050","conv_AppleSupport_109050","@AppleSupport Do I have to buy an iPhone 8 directly from Apple to be eligible for AppleCare+ or can I buy the phone separately and add AC+ afterwards, as long as it's within 60 days of my purchase?","<USER> Do I have to buy an iPhone 8 directly from Apple to be eligible for AppleCare+ or can I buy the phone separately and add AC+ afterwards, as long as it's within 60 days of my purchase?","billing_purchase_issue",4,"@140204 That's a great question! No, you don't have to buy your iPhone directly from us. Please take a look at the following article for some guidance on purchasing an AppleCare plan for your device: https://t.co/brpZQUaYqu","","pending","",""
"gold_059","2618295","conv_AppleSupport_2618295","@AppleSupport hi, our company has 2 x iPhone 8 pluses &amp; the camera flash doesn’t work on either. Torch is ok but no flash. Solution??","<USER> hi, our company has 2 x iPhone 8 pluses &amp; the camera flash doesn’t work on either. Torch is ok but no flash. Solution??","general_device_support",2,"@739937 We're glad to assist on this. What iOS version is running on both devices? Is the flash disabled in the Camera app? Were both of them set up via a common backup?","","pending","",""
"gold_060","1619367","conv_AppleSupport_1619367","@AppleSupport hey dudes everytime i️ type the letter ""i️"" a weird symbol comes up. what's up w that","<USER> hey dudes everytime i️ type the letter ""i️"" a weird symbol comes up. what's up w that","keyboard_typing_issue",0,"@496410 We've seen the issue you're talking about and we have a workaround for it: https://t.co/xXaXeeSRt9 Did that help?","","pending","",""
"gold_061","1547547","conv_AppleSupport_1547547","@AppleSupport I don’t want to have to manually lower the volume","<USER> I don’t want to have to manually lower the volume","hardware_audio_connection_issue",7,"@479138 The buttons control the volume for the ringer, and alerts, except when you’re listening to songs, movies, or other media. https://t.co/GDrqU22YpT","","pending","",""
"gold_062","1040150","conv_AppleSupport_1040150","That “awesome” attention to detail &amp; quality control we all love Cook’s @115858 for, still glaringly obvious in latest #ios update. https://t.co/7BMkreYDMs","That “awesome” attention to detail &amp; quality control we all love Cook’s <USER> for, still glaringly obvious in latest #ios update. <URL>","software_update_problem",3,"@366085 We're here to help. What's the issue that you're having on your iPad? Once you search, are you unable to scroll down the list?","","pending","",""
"gold_063","686566","conv_AppleSupport_686566","@AppleSupport App Store not working for me either","<USER> App Store not working for me either","billing_purchase_issue",5,"@283921 We can help. What happens when you try using your App Store?","","pending","",""
"gold_064","2118348","conv_AppleSupport_2118348","@AppleSupport please fix this letter “eye” problem!! I️ paid all this money for this phone &amp; I’m still seeing blocks!","<USER> please fix this letter “eye” problem!! I️ paid all this money for this phone &amp; I’m still seeing blocks!","billing_purchase_issue",2,"@624297 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9","","pending","",""
"gold_065","2972519","conv_AppleSupport_2972519","After so many battery problems on my iPad after #ios11, @115858 is losing a customer. Off to buy a @1647 Tab.","After so many battery problems on my iPad after #ios11, <USER> is losing a customer. Off to buy a <USER> Tab.","software_update_problem",3,"@819848 If you're running into issues with the battery on your iPad, we'd like to help you out. Please tell us the exact issue(s) your experiencing. Also, please let us know what version of the iOS software you currently have installed. https://t.co/GDrqU22YpT","","pending","",""
"gold_066","2013092","conv_AppleSupport_2013092","is anyone else’s shit doing this tooo????? https://t.co/AFkraDlPBP","is anyone else’s shit doing this tooo????? <URL>","general_device_support",7,"@595248 We've got an article that can help with this issue: https://t.co/xXaXeeSRt9

Let us know via DM if it continues to happen. https://t.co/GDrqU22YpT","","pending","",""
"gold_067","1642576","conv_AppleSupport_1642576","Hey @115858 I️ need you to fix this.","Hey <USER> I️ need you to fix this.","general_device_support",0,"@502080 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9","","pending","",""
"gold_068","666271","conv_AppleSupport_666271","Screen recording is actually useless does anyone have problems with it? @AppleSupport","Screen recording is actually useless does anyone have problems with it? <USER>","display_touch_issue",5,"@278732 Screen recording is a great feature that we want you to take full advantage of. What's going on with it? Which device are we using?","","pending","",""
"gold_069","1813849","conv_AppleSupport_1813849","@115858 Great products absolutely awful charging leads, am I alone in thinking this ? &amp; they've all been purchased from #Apple 😤","<USER> Great products absolutely awful charging leads, am I alone in thinking this ? &amp; they've all been purchased from #Apple 😤","billing_purchase_issue",4,"@544910 The included accessories have the same warranty as the device. Please DM us with your country, and we'll start. https://t.co/GDrqU22YpT","","pending","",""
"gold_070","1362538","conv_AppleSupport_1362538","@115858 @AppleSupport  is this page ok?! I’m locked out my account! https://t.co/uaZcXh6eF3","<USER> <USER> is this page ok?! I’m locked out my account! <URL>","account_access_issue",7,"@437253  We'd love to help identify this. Could you let us know the full link of this? Send us a DM. https://t.co/GDrqU22YpT","","pending","",""
"gold_071","1299008","conv_AppleSupport_1299008","@AppleSupport So frustrating setting up an appt to come in - signed in w/ login info, can't move on w/o a 2factor authentification","<USER> So frustrating setting up an appt to come in - signed in w/ login info, can't move on w/o a 2factor authentification","account_access_issue",5,"@423589 We'll be glad to look into this with you. Please let us know what's going on in a DM. https://t.co/GDrqU22YpT","","pending","",""
"gold_072","1991163","conv_AppleSupport_1991163","@AppleSupport @115858 pleaseeeee fix this! This is annoying me when I type “I️” https://t.co/51p93jnP3m","<USER> <USER> pleaseeeee fix this! This is annoying me when I type “I️” <URL>","keyboard_typing_issue",0,"@589290 We're happy to look into this with you! Join us in DM with the iOS version currently installed on your device to get started. https://t.co/GDrqU22YpT","","pending","",""
