conversation_id,tweet_id,original_text,normalized_text,cluster_id
conv_AppleSupport_1532207,1532207,Updated my phone and now it’s just randomly turning off and on ! Wtf @115858,Updated my phone and now it’s just randomly turning off and on ! Wtf <USER>,6
conv_AppleSupport_2730421,2730421,Formated and reinstalled MacOS High Sierra by Genius Bar member at Apple Shop but still problem of random key stopped working remains. It's time for Apple to acknowledge issue @AppleSupport even Google search shows many r facing same issue. No solution yet!,Formated and reinstalled MacOS High Sierra by Genius Bar member at Apple Shop but still problem of random key stopped working remains. It's time for Apple to acknowledge issue <USER> even Google search shows many r facing same issue. No solution yet!,5
conv_AppleSupport_1815573,1815573,@115858 MY PHONE FREEZES UP ATLEAST 20 TIMES A DAY FUCKIN FIX IT.,<USER> MY PHONE FREEZES UP ATLEAST 20 TIMES A DAY FUCKIN FIX IT.,6
conv_AppleSupport_1995973,1995973,@AppleSupport Is there a problem with the new iphone update? I recently downloaded it and my phone 8 keeps freezing. HELP!,<USER> Is there a problem with the new iphone update? I recently downloaded it and my phone 8 keeps freezing. HELP!,6
conv_AppleSupport_945510,945510,@AppleSupport it would be great if my iPhone 6 stopped shutting off with 40-60% battery and not come back on until plugged in... #ios11,<USER> it would be great if my iPhone 6 stopped shutting off with 40-60% battery and not come back on until plugged in... #ios11,1
conv_AppleSupport_2940342,2940342,"@AppleSupport Hello, I have a problem with my Mac, System is utilizing 283 GBs! What is it and how can I reduce it? https://t.co/2NHjbElzah","<USER> Hello, I have a problem with my Mac, System is utilizing 283 GBs! What is it and how can I reduce it? <URL>",5
conv_AppleSupport_563416,563416,@AppleSupport my Macbook is unresponsive and it is incredibly urgent to have this fixed. I have a deadline on Tuesday. When is the next available appointment with an apple genius?,<USER> my Macbook is unresponsive and it is incredibly urgent to have this fixed. I have a deadline on Tuesday. When is the next available appointment with an apple genius?,5
conv_AppleSupport_1001166,1001166,@115858 this new phone software is making my phone slow and glitchy!  Not impressed!,<USER> this new phone software is making my phone slow and glitchy! Not impressed!,6
conv_AppleSupport_1772147,1772147,forgot that you aren’t supposed to type I️ on the iPhone anymore. Oops. @AppleSupport help.,forgot that you aren’t supposed to type I️ on the iPhone anymore. Oops. <USER> help.,0
conv_AppleSupport_2077168,2077168,"@AppleSupport Dear Team, I am using I phone 6s , I have update latest os 11 but faced lot of problems, Hanging on call history. Kindly check","<USER> Dear Team, I am using I phone 6s , I have update latest os 11 but faced lot of problems, Hanging on call history. Kindly check",6
conv_AppleSupport_2543980,2543980,.@115858 your iPhone update keeps dumping me out of apps,.<USER> your iPhone update keeps dumping me out of apps,6
conv_AppleSupport_164212,164212,Might have to cop an iPhone 7 today 😔 my iPhone 6 trippin since yesterday 🤔 @115858 capitalism sucks ass 😤,Might have to cop an iPhone 7 today 😔 my iPhone 6 trippin since yesterday 🤔 <USER> capitalism sucks ass 😤,2
conv_AppleSupport_2082179,2082179,"Opened my #iphone8 box... no charger, no ear buds! Ummm @115858 what’s good?","Opened my #iphone8 box... no charger, no ear buds! Ummm <USER> what’s good?",2
conv_AppleSupport_720580,720580,@115858 eye’m about to lose my mind with this stupid bug. The letter after H doesn’t work anymore. #FIXThis. 😡😡😡,<USER> eye’m about to lose my mind with this stupid bug. The letter after H doesn’t work anymore. #FIXThis. 😡😡😡,0
conv_AppleSupport_1677082,1677082,Yesss wtf is up @115858 fix thisss please https://t.co/QyDFCqOAb9,Yesss wtf is up <USER> fix thisss please <URL>,7
conv_AppleSupport_802447,802447,"@AppleSupport Dropbox app on iPhone downloads full size pix to upload, but Photos app doesn’t ever readjust and storage is full","<USER> Dropbox app on iPhone downloads full size pix to upload, but Photos app doesn’t ever readjust and storage is full",2
conv_AppleSupport_1473351,1473351,@AppleSupport wassupw oh all these question marks and boxes?,<USER> wassupw oh all these question marks and boxes?,0
conv_AppleSupport_125803,125803,@AppleSupport My iPhone power button stops functioning after about a day. After a Power Off via Settings&gt;General&gt;Shut Down the button works fine for about another day. iOS issue? Firmware update in process?,<USER> My iPhone power button stops functioning after about a day. After a Power Off via Settings&gt;General&gt;Shut Down the button works fine for about another day. iOS issue? Firmware update in process?,1
conv_AppleSupport_1677849,1677849,THIS STUPID QUESTION MARK BOX THING IS SOOO ANNOYING @115858 FIX UR SHIT,THIS STUPID QUESTION MARK BOX THING IS SOOO ANNOYING <USER> FIX UR SHIT,0
conv_AppleSupport_2284308,2284308,My phone has been messing up a lot lately. Wtf @115858,My phone has been messing up a lot lately. Wtf <USER>,2
conv_AppleSupport_944343,944343,@AppleSupport having major problems with my keyboard since last update,<USER> having major problems with my keyboard since last update,0
conv_AppleSupport_1161939,1161939,"Dear @115858, this phone cost $1200. Fix the freaking “I” glitch in your OS! Yeesh! 👿","Dear <USER>, this phone cost $1200. Fix the freaking “I” glitch in your OS! Yeesh! 👿",2
conv_AppleSupport_1747427,1747427,"@AppleSupport 
Hi, I’m facing an issue / bug on my iPad Pro 10.5 since I updated to iOS 11 om Mail App!
This issue is only on iPad and I’m not facing it on iPhone!
If I marked more than 10 emails and hit delete. The app just freezes and do nothing &amp; less than that its possible!?","<USER> Hi, I’m facing an issue / bug on my iPad Pro 10.5 since I updated to iOS 11 om Mail App! This issue is only on iPad and I’m not facing it on iPhone! If I marked more than 10 emails and hit delete. The app just freezes and do nothing &amp; less than that its possible!?",3
conv_AppleSupport_1508688,1508688,"@115858 don’t release anymore updates till y’all get y’all 💩 together, this is hella ridiculous","<USER> don’t release anymore updates till y’all get y’all 💩 together, this is hella ridiculous",6
conv_AppleSupport_1914030,1914030,@115858 any way I can revert the podcast app back to the old version? This new one isn’t working out for me... @407449 👀,<USER> any way I can revert the podcast app back to the old version? This new one isn’t working out for me... <USER> 👀,5
conv_AppleSupport_1584559,1584559,Today is the day I️ get annoyed with people talking about daylight savings time when it’s daylight SAVING time.,Today is the day I️ get annoyed with people talking about daylight savings time when it’s daylight SAVING time.,5
conv_AppleSupport_2408510,2408510,@115858 @AppleSupport my @115948 won’t open up on my phone after the new update what is going on?,<USER> <USER> my <USER> won’t open up on my phone after the new update what is going on?,6
conv_AppleSupport_2361665,2361665,@115858 @AppleSupport What is up with 11.1.1  Now phone wont stay connected to wifi.  Apple guy ready to go Android. Apple is releasing shit updates like the old MS. #badupdate #IOSfail #nevertested,<USER> <USER> What is up with 11.1.1 Now phone wont stay connected to wifi. Apple guy ready to go Android. Apple is releasing shit updates like the old MS. #badupdate #IOSfail #nevertested,3
conv_AppleSupport_2643068,2643068,@AppleSupport Good evening. Can I please ask you guys a question about Apple EarPods?,<USER> Good evening. Can I please ask you guys a question about Apple EarPods?,4
conv_AppleSupport_2726965,2726965,I had this beautiful instrumental created from scratch but my computer decided to delete it as I was trying to save it... 3 different times. @115858 this apart of the new update or what?,I had this beautiful instrumental created from scratch but my computer decided to delete it as I was trying to save it... 3 different times. <USER> this apart of the new update or what?,5
conv_AppleSupport_2955501,2955501,@115858 someone is charging apple products to my credit card left and right that I never signed up for.,<USER> someone is charging apple products to my credit card left and right that I never signed up for.,4
conv_AppleSupport_842450,842450,"Hi @AppleSupport, my 5s had 6 iOS updates over the last 7 days and last night all my apps - WhatsApp, etc - stopped working... what gives?","Hi <USER>, my 5s had 6 iOS updates over the last 7 days and last night all my apps - WhatsApp, etc - stopped working... what gives?",6
conv_AppleSupport_1646733,1646733,You’ve been complaining about this for 30 minutes now. Come on https://t.co/dfCHdkA5rA,You’ve been complaining about this for 30 minutes now. Come on <URL>,7
conv_AppleSupport_295934,295934,New s/w updates drains battery so much. 20% to 3% as you read this! @115858  @AppleSupport WTF! SE gave me fantastic battery until now,New s/w updates drains battery so much. 20% to 3% as you read this! <USER> <USER> WTF! SE gave me fantastic battery until now,1
conv_AppleSupport_1218400,1218400,Just thought I’d give you a heads up @AppleSupport that there is a (very poor) spam email going around pretending to be a purchase on someone’s iTunes account to get their details. https://t.co/nIgIQHOa6Y,Just thought I’d give you a heads up <USER> that there is a (very poor) spam email going around pretending to be a purchase on someone’s iTunes account to get their details. <URL>,4
conv_AppleSupport_2892018,2892018,@115858 wtf https://t.co/lHiXekKIaH,<USER> wtf <URL>,7
conv_AppleSupport_954283,954283,Brand new sexy ass iPhone fucking shattered. WHY ARE THEY SO FUCKING FRAGILE @115858 I LOVE U BUT DAMN,Brand new sexy ass iPhone fucking shattered. WHY ARE THEY SO FUCKING FRAGILE <USER> I LOVE U BUT DAMN,2
conv_AppleSupport_1837883,1837883,Hey @AppleSupport I've been watching @115940 for an hour on 1% power unplugged.  Not trying to make me think of getting a new phone r u?,Hey <USER> I've been watching <USER> for an hour on 1% power unplugged. Not trying to make me think of getting a new phone r u?,2
conv_AppleSupport_1332285,1332285,"Hilfe, @AppleSupport mein iphone6 verliert die Energie zu schnell seit Update... 😂😂😂","Hilfe, <USER> mein iphone6 verliert die Energie zu schnell seit Update... 😂😂😂",6
conv_AppleSupport_1812294,1812294,@AppleSupport excuse me ! I’m still not allowed to download nor update my apps without giving you my credit card info. Are you guys okay ?,<USER> excuse me ! I’m still not allowed to download nor update my apps without giving you my credit card info. Are you guys okay ?,4
conv_AppleSupport_2241228,2241228,"@AppleSupport After obtaining the 11.1.1 update when I charge the phone with the original accessories, the phone tells me that the device is not compatible","<USER> After obtaining the 11.1.1 update when I charge the phone with the original accessories, the phone tells me that the device is not compatible",3
conv_AppleSupport_686566,686566,@AppleSupport App Store not working for me either,<USER> App Store not working for me either,5
conv_AppleSupport_2277679,2277679,@115858 when is the keyboard fix coming? The I automatically turning into I️ is killing me... among other autocorrect fails,<USER> when is the keyboard fix coming? The I automatically turning into I️ is killing me... among other autocorrect fails,0
conv_AppleSupport_1709239,1709239,Just fully charged my iphone &amp; it reads 51% @115858 are terrible at declaring their true percentages #ParadisePapers,Just fully charged my iphone &amp; it reads 51% <USER> are terrible at declaring their true percentages #ParadisePapers,2
conv_AppleSupport_323842,323842,Does anyone else have their iPhone restart randomly after downloading the new update? What the shit @115858!,Does anyone else have their iPhone restart randomly after downloading the new update? What the shit <USER>!,6
conv_AppleSupport_1717501,1717501,Waiting for @AppleSupport to stop turning my “I”s to “I️ “ whatever that is,Waiting for <USER> to stop turning my “I”s to “I️ “ whatever that is,0
conv_AppleSupport_2149135,2149135,@115858 HEY my shiny new #iPhoneX will not let me get apps from the App Store? What the heck? https://t.co/C3566kXJXH,<USER> HEY my shiny new #iPhoneX will not let me get apps from the App Store? What the heck? <URL>,4
conv_AppleSupport_209135,209135,@AppleSupport looks like the widget for the weather is down still says sunset on mine but when I go in to the weather app it’s fine,<USER> looks like the widget for the weather is down still says sunset on mine but when I go in to the weather app it’s fine,5
conv_AppleSupport_2473551,2473551,ok i wish i️ was a boy so i️ could eat whatever i️ wanted,ok i wish i️ was a boy so i️ could eat whatever i️ wanted,4
conv_AppleSupport_1605554,1605554,@AppleSupport Hi. Has Bonjour been removed? It’s disappeared from Safari. Any ideas?,<USER> Hi. Has Bonjour been removed? It’s disappeared from Safari. Any ideas?,7
conv_AppleSupport_705433,705433,@AppleSupport Hello I’m having troubles with my Apple Music. I was wondering if you could help?,<USER> Hello I’m having troubles with my Apple Music. I was wondering if you could help?,5
conv_AppleSupport_1654607,1654607,What is up with the update messing my keyboard/texting up... @115858 @AppleSupport,What is up with the update messing my keyboard/texting up... <USER> <USER>,0
conv_AppleSupport_2725975,2725975,@applesupport Hi! iMessage syncing between Mac and iPhone is laughably bad since moving to iCloud. How can I fix it? https://t.co/rin8YM8Jcm,<USER> Hi! iMessage syncing between Mac and iPhone is laughably bad since moving to iCloud. How can I fix it? <URL>,5
conv_AppleSupport_902998,902998,@115858 whatever you did to Spotify with the new iPhone update. Please fix it.,<USER> whatever you did to Spotify with the new iPhone update. Please fix it.,6
conv_AppleSupport_2731290,2731290,If I see one more A ? I’m gonna throw my phone at the wall @115858 FIX THIS NOW,If I see one more A ? I’m gonna throw my phone at the wall <USER> FIX THIS NOW,2
conv_AppleSupport_1756251,1756251,Brent Grimes out here on some Bi** shit. Allowing his wife to talk so loosely out her mouth. Talking about smoking tree with @528818,Brent Grimes out here on some Bi** shit. Allowing his wife to talk so loosely out her mouth. Talking about smoking tree with <USER>,7
conv_AppleSupport_209105,209105,@AppleSupport the iOS 11.0.2 update has messed up my photo library. certain photos are not appearing where they’re supposed to be.,<USER> the iOS 11.0.2 update has messed up my photo library. certain photos are not appearing where they’re supposed to be.,3
conv_AppleSupport_1903605,1903605,Why does changing my card details for Apple Music immediately make it ok to charge me when the date is a week away? @AppleSupport,Why does changing my card details for Apple Music immediately make it ok to charge me when the date is a week away? <USER>,4
conv_AppleSupport_2013675,2013675,"@AppleSupport 
After upgrading iPhone to 11.1, 
It stuck on apple logo when I charging it","<USER> After upgrading iPhone to 11.1, It stuck on apple logo when I charging it",3
conv_AppleSupport_1742549,1742549,The fact that i can’t type “I️” is so damn annoying. FIX THIS @115858 @115858,The fact that i can’t type “I️” is so damn annoying. FIX THIS <USER> <USER>,0
conv_AppleSupport_2625985,2625985,@AppleSupport my speaker phone isn’t working,<USER> my speaker phone isn’t working,2
conv_AppleSupport_1195172,1195172,WTH @AppleSupport what is wrong with iOS 11? My phone constantly freezes and now my screen won’t lock. When will these issues be fixed?!?,WTH <USER> what is wrong with iOS 11? My phone constantly freezes and now my screen won’t lock. When will these issues be fixed?!?,3
conv_AppleSupport_1798777,1798777,@115858 my iPhone battery is worthless now. Your iOS update is a pile of shit.,<USER> my iPhone battery is worthless now. Your iOS update is a pile of shit.,1
conv_AppleSupport_1791822,1791822,"The new phones come out then, the new update drains your battery at an alarming rate. 🤔🤔 we're not that stupid @AppleSupport @115858","The new phones come out then, the new update drains your battery at an alarming rate. 🤔🤔 we're not that stupid <USER> <USER>",6
conv_AppleSupport_1974737,1974737,Hey @AppleSupport why is the iPhone putting I️ instead of “I”?,Hey <USER> why is the iPhone putting I️ instead of “I”?,0
conv_AppleSupport_2177400,2177400,OH MY GOD @AppleSupport THIS IOS UPDATE IS ASS MY PHONE KEEPS FREEING AND WONT LET ME TURN IN OFF CUS THE TOUCH SCREEN DONT WORK IM NOT GETTING A NEW PHONE STOP PLS,OH MY GOD <USER> THIS IOS UPDATE IS ASS MY PHONE KEEPS FREEING AND WONT LET ME TURN IN OFF CUS THE TOUCH SCREEN DONT WORK IM NOT GETTING A NEW PHONE STOP PLS,6
conv_AppleSupport_1458097,1458097,I updated my phone but my emojis didn’t update for some reason ☹️@115858,I updated my phone but my emojis didn’t update for some reason ☹️<USER>,6
conv_AppleSupport_1850411,1850411,@AppleSupport @115858 Just upgraded to new OS. Why do all my notifications keep coming back no matter how many times I clear them? #annoying,<USER> <USER> Just upgraded to new OS. Why do all my notifications keep coming back no matter how many times I clear them? #annoying,5
conv_AppleSupport_1499994,1499994,Hey @AppleSupport @115858 what in the heck is this and how do I get rid of it? https://t.co/bRxZBFtnMX,Hey <USER> <USER> what in the heck is this and how do I get rid of it? <URL>,7
conv_AppleSupport_1774675,1774675,Im gonna just start reading all ? As I by the time y’all fix this problem @115858 is that okay??,Im gonna just start reading all ? As I by the time y’all fix this problem <USER> is that okay??,0
conv_AppleSupport_300643,300643,@115858 @AppleSupport The back button is kinda feeling sticky and not working well as before.,<USER> <USER> The back button is kinda feeling sticky and not working well as before.,5
conv_AppleSupport_1969827,1969827,@115858 fix yo shit my charger and headphones both broke within 2 weeks,<USER> fix yo shit my charger and headphones both broke within 2 weeks,2
conv_AppleSupport_413744,413744,@115858 fuuuuuuuccccccckkkkkkk you &amp; your battery draining stupidass shit iOS 11 update!,<USER> fuuuuuuuccccccckkkkkkk you &amp; your battery draining stupidass shit iOS 11 update!,1
conv_AppleSupport_2488630,2488630,WHY IS MY PHONE FUCKING UP RN @AppleSupport EXPLAIN,WHY IS MY PHONE FUCKING UP RN <USER> EXPLAIN,2
conv_AppleSupport_903305,903305,@115858 Where did the video recording feature go? It goes away after launch #ios11.0.2 #bugs #comeonapple https://t.co/Qgr3UByXhh,<USER> Where did the video recording feature go? It goes away after launch #ios11.0.2 #bugs #comeonapple <URL>,3
conv_AppleSupport_2117159,2117159,Really annoyed with this autocorrect from turning the personal pronoun into I️ @115858,Really annoyed with this autocorrect from turning the personal pronoun into I️ <USER>,0
conv_AppleSupport_1711351,1711351,@AppleSupport Hi . Since updating to iOS 11 I have been having issues with my 7 plus.It keeps freezing on Almost every app. Is there a fix?,<USER> Hi . Since updating to iOS 11 I have been having issues with my 7 plus.It keeps freezing on Almost every app. Is there a fix?,3
conv_AppleSupport_2726900,2726900,Never mind! My phone just shut down at 34% with this #iOS1112! #worstiOs ever @115858 @AppleSupport #donotupgrade!,Never mind! My phone just shut down at 34% with this #iOS1112! #worstiOs ever <USER> <USER> #donotupgrade!,1
conv_AppleSupport_2020331,2020331,I've had an iPhone for 8 yrs &amp; never complained once but I'm seriously considering ditching @115858 due to the issues caused by iOS11.,I've had an iPhone for 8 yrs &amp; never complained once but I'm seriously considering ditching <USER> due to the issues caused by iOS11.,3
conv_AppleSupport_2014745,2014745,@115858 you gonna fix this I️ problem,<USER> you gonna fix this I️ problem,0
conv_AppleSupport_2059977,2059977,Yo @115858 fix this shit this new update = crash party shit is ridiculous,Yo <USER> fix this shit this new update = crash party shit is ridiculous,6
conv_AppleSupport_119538,119538,@115858 the Basingstoke store has the most useless and unhelpful bunch of staff I have ever met. Turning me down and refusing to help me with a manufacturing fault of my phone. Expect me to sort out my own phone or fob me off to the network I brought it from.,<USER> the Basingstoke store has the most useless and unhelpful bunch of staff I have ever met. Turning me down and refusing to help me with a manufacturing fault of my phone. Expect me to sort out my own phone or fob me off to the network I brought it from.,2
conv_AppleSupport_1817785,1817785,My phone froze and then the Golden Girls theme song started playing and wouldn’t stop even after I closed all my apps. Help me @115858.,My phone froze and then the Golden Girls theme song started playing and wouldn’t stop even after I closed all my apps. Help me <USER>.,2
conv_AppleSupport_1088779,1088779,When y’all fixing Apple Music @115858?,When y’all fixing Apple Music <USER>?,5
conv_AppleSupport_2519345,2519345,@115858 how come after the release of the iPhone 8 and iPhone X all of a sudden my iPhone 6s starts messing up????? Hmmmmm,<USER> how come after the release of the iPhone 8 and iPhone X all of a sudden my iPhone 6s starts messing up????? Hmmmmm,2
conv_AppleSupport_2187909,2187909,@AppleSupport can you help me fix me phone!!!,<USER> can you help me fix me phone!!!,2
conv_AppleSupport_1805487,1805487,@115858 update for non apple replacement parts?my iphone 6s bought at apple does this but only since i did update so  its an apple problem.,<USER> update for non apple replacement parts?my iphone 6s bought at apple does this but only since i did update so its an apple problem.,6
conv_AppleSupport_2280916,2280916,@115858 why the fuck can’t I see the capital letter “i” https://t.co/6v9WROOKzn,<USER> why the fuck can’t I see the capital letter “i” <URL>,0
conv_AppleSupport_2680125,2680125,@AppleSupport battery life is awful since installing iOS 11.1.1 The phone dies under normal use b4 the day is out. What u going 2 do 2 sort?,<USER> battery life is awful since installing iOS 11.1.1 The phone dies under normal use b4 the day is out. What u going 2 do 2 sort?,1
conv_AppleSupport_2019317,2019317,Help! How does one get rid of this annoying box!? My trusty Apple genius @80726 doesn’t even know cc: @AppleSupport https://t.co/cYj8klwUCP,Help! How does one get rid of this annoying box!? My trusty Apple genius <USER> doesn’t even know cc: <USER> <URL>,5
conv_AppleSupport_2293550,2293550,@115858 please fix these I glitches from looking like I️,<USER> please fix these I glitches from looking like I️,0
conv_AppleSupport_453884,453884,@AppleSupport keep having issue with my video settings reverting to 1080 when I want to keep it ready to shoot at 4K 60. I keep missing moments because I have to go into settings and revert it every time to my liking.,<USER> keep having issue with my video settings reverting to 1080 when I want to keep it ready to shoot at 4K 60. I keep missing moments because I have to go into settings and revert it every time to my liking.,5
conv_AppleSupport_2024847,2024847,I’ve been an @115858 guy from the beginning but I have to say the battery life issue that I’ve had on EVERY iPhone might just break me....,I’ve been an <USER> guy from the beginning but I have to say the battery life issue that I’ve had on EVERY iPhone might just break me....,1
conv_AppleSupport_1680788,1680788,"@AppleSupport @67389 @67390 bring control centre back to the bottom of the screen fam, it's too frequently used to be so far away 😢","<USER> <USER> <USER> bring control centre back to the bottom of the screen fam, it's too frequently used to be so far away 😢",5
conv_AppleSupport_797598,797598,@AppleSupport hello please look at your direct messages urgently,<USER> hello please look at your direct messages urgently,7
conv_AppleSupport_957790,957790,"Okay @115858 of all the bugs in iOS11, the one where the alarm doesn’t make any noise needs to get fixed yesterday.","Okay <USER> of all the bugs in iOS11, the one where the alarm doesn’t make any noise needs to get fixed yesterday.",3
conv_AppleSupport_2484312,2484312,"@AppleSupport updated 2 the latest iOS &amp; there seems 2 be a glitch, can’t turn ringer up or down using volume buttons (checked settings 2).","<USER> updated 2 the latest iOS &amp; there seems 2 be a glitch, can’t turn ringer up or down using volume buttons (checked settings 2).",3
conv_AppleSupport_90535,90535,"@AppleSupport please stop using @122232 for delivery, new phone held up in depo for 2 days, no updates, no response on phone, email, twitter","<USER> please stop using <USER> for delivery, new phone held up in depo for 2 days, no updates, no response on phone, email, twitter",6
conv_AppleSupport_2003198,2003198,Hey @115858 for the love of god fix this fucking letter “I️” glitch,Hey <USER> for the love of god fix this fucking letter “I️” glitch,0
conv_AppleSupport_2020856,2020856,@115858 why does I️ keep autocorrecting to I️ please fix it I️ don’t like it,<USER> why does I️ keep autocorrecting to I️ please fix it I️ don’t like it,0
conv_AppleSupport_367947,367947,"Hi @AppleSupport since I have updated #iOS1102 I notice my #battery gets down quickly. 

Please help!

#iOS11
#Batterylife
#GetsDown
#Apple",Hi <USER> since I have updated #iOS1102 I notice my #battery gets down quickly. Please help! #iOS11 #Batterylife #GetsDown #Apple,1
conv_AppleSupport_1526992,1526992,when your laptop trackpad and keyboard isn't working 😑 @AppleSupport,when your laptop trackpad and keyboard isn't working 😑 <USER>,5
conv_AppleSupport_2051830,2051830,"@AppleSupport Your bloody automated call back system. I press 1, it doesn’t acknowledge I have done so, and hangs up on me. Livechat useless","<USER> Your bloody automated call back system. I press 1, it doesn’t acknowledge I have done so, and hangs up on me. Livechat useless",5
conv_AppleSupport_483281,483281,"i’m bouta pitch this phone though like!!
@115858 FIX MY SHIT BRUH!!!",i’m bouta pitch this phone though like!! <USER> FIX MY SHIT BRUH!!!,2
conv_AppleSupport_1912391,1912391,"@AppleSupport @115858 hav a 7 128 have, lately it’s hanging and heating , did every possible thing with no results . Not satisfied !","<USER> <USER> hav a 7 128 have, lately it’s hanging and heating , did every possible thing with no results . Not satisfied !",5
conv_AppleSupport_87027,87027,@AppleSupport Left home 20 minutes ago with full battery. Now on 28%. What a pile of 💩 your latest IOS is. And in the rind I’ve typed this tweet I’ve lost another 3 %.,<USER> Left home 20 minutes ago with full battery. Now on 28%. What a pile of 💩 your latest IOS is. And in the rind I’ve typed this tweet I’ve lost another 3 %.,1
conv_AppleSupport_2132054,2132054,My phone is broken in the inside 🧠 @115858  IIIIIIIIIIIIIII,My phone is broken in the inside 🧠 <USER> IIIIIIIIIIIIIII,2
conv_AppleSupport_1386719,1386719,@115858 We all have this issue! https://t.co/NG0uVXAPvF,<USER> We all have this issue! <URL>,7
conv_AppleSupport_2526338,2526338,@115858 I’ll be damned if my iPhone 7+ starts lagging just because the new generation came out fix your fucking “update”,<USER> I’ll be damned if my iPhone 7+ starts lagging just because the new generation came out fix your fucking “update”,6
conv_AppleSupport_1413823,1413823,I want to love @115858 and never switch to something else buuut they kill me with these updates that destroy your battery. Every. Damn. Time.,I want to love <USER> and never switch to something else buuut they kill me with these updates that destroy your battery. Every. Damn. Time.,6
conv_AppleSupport_794572,794572,"@AppleSupport hello, can you dm I have a question","<USER> hello, can you dm I have a question",7
conv_AppleSupport_2112914,2112914,Hey @AppleSupport how can I set a song from my iTunes library as a standard ringtone on my iPhone 7?,Hey <USER> how can I set a song from my iTunes library as a standard ringtone on my iPhone 7?,4
conv_AppleSupport_2003025,2003025,Please send us an update to fix this keyboard problem!!! 😩😩😩 @AppleSupport,Please send us an update to fix this keyboard problem!!! 😩😩😩 <USER>,0
conv_AppleSupport_2242654,2242654,This @115858 update won’t let me make or receive any calls,This <USER> update won’t let me make or receive any calls,6
conv_AppleSupport_1636565,1636565,@AppleSupport why is airplay from my macbook air to apple tv 3 always buffering while casting to chromecast is flawless?,<USER> why is airplay from my macbook air to apple tv 3 always buffering while casting to chromecast is flawless?,5
conv_AppleSupport_1537679,1537679,@AppleSupport Why is my phone autocorrecting the word it to spell i.t ?,<USER> Why is my phone autocorrecting the word it to spell i.t ?,0
conv_AppleSupport_2509370,2509370,"@115858 ever since your new update, data is being used on things that aren’t active on my phone and videos don’t play properly. Fix this please #upgrade=downgrade","<USER> ever since your new update, data is being used on things that aren’t active on my phone and videos don’t play properly. Fix this please #upgrade=downgrade",6
